Date,RiskOn,Momentum,Signal,Position,Strat_Ret,Strat_Eq
2018-08-31,11680.5,0.17771902720873411,1,1.0,0.028529916787742637,232.64317067655273
2018-09-30,10930.4501953125,0.11665106670048053,1,1.0,-0.06421384398677288,217.70425841014037
2018-10-31,10386.599609375,0.004963552645490976,1,1.0,-0.04975555226176587,206.87226280320567
2018-11-30,10876.75,0.06357962438265052,1,1.0,0.047190650362856745,216.63469942692478
2018-12-31,10862.5498046875,0.031512587313302864,1,1.0,-0.001305554996896996,216.35187091258666
2019-01-31,10830.9501953125,-0.01784143534148963,0,1.0,-0.002909041610227092,215.7224943176515
2019-02-28,10792.5,0.028557579854882498,1,0.0,-0.001,215.50677182333385
2019-03-31,11570.0,0.1439927797506264,1,1.0,0.07104076905258283,230.81653862970296
2019-04-30,11748.150390625,0.0939349977366748,1,1.0,0.015397613710026015,234.37056252940843
2019-05-31,11922.7998046875,0.11052838968227419,1,1.0,0.01486612004915,237.85474344795742
2019-06-30,11788.849609375,0.10029118321081376,1,1.0,-0.011234793631260787,235.18249449110314
2019-07-31,11118.0,-0.021001188746532784,0,1.0,-0.05690543450834351,221.7993324533308
2019-08-31,11023.25,-0.0562689953341039,0,0.0,-0.001,221.5775331208775
2019-09-30,11474.4501953125,0.04976922178679266,1,0.0,0.0,221.5775331208775
2019-10-31,11877.4501953125,0.14353596383862244,1,1.0,0.03412150849411788,229.1380927993672
2019-11-30,12056.0498046875,0.10842391382421224,1,1.0,0.015036864515372672,232.58361125610216
2019-12-31,12168.4501953125,0.12022042836217572,1,1.0,0.009323152479122854,234.75202372798782
2020-01-31,11962.099609375,0.10443676627301346,1,1.0,-0.01695783625896663,230.77113734814753
2020-02-29,11201.75,0.03791985174889967,1,1.0,-0.0635632233641571,216.10257999888665
2020-03-31,8597.75,-0.2568928262748488,0,1.0,-0.23246367755038277,165.86657952421967
2020-04-30,9859.900390625,-0.16072742833687415,0,0.0,-0.001,165.70071294469545
2020-05-31,9580.2998046875,-0.1964723083817138,0,0.0,0.0,165.70071294469545
2020-06-30,10302.099609375,-0.12611493481244107,0,0.0,0.0,165.70071294469545
2020-07-31,11073.4501953125,-0.004006998083063484,0,0.0,0.0,165.70071294469545
2020-08-31,11387.5,0.0330437937994692,1,0.0,0.0,165.70071294469545
2020-09-30,11247.5498046875,-0.019774401976810352,0,1.0,-0.01328980858946216,163.49858218652304
2020-10-31,11642.400390625,-0.019789584533914883,0,0.0,-0.001,163.33508360433652
2020-11-30,12968.9501953125,0.07572135196970198,1,0.0,0.0,163.33508360433652
2020-12-31,13981.75,0.14901649557525531,1,1.0,0.07709420110608234,175.927271387408
2021-01-31,13634.599609375,0.13981659195424356,1,1.0,-0.024828822616982826,171.55920437264024
2021-02-28,14529.150390625,0.29704290763719965,1,1.0,0.06560887791929848,182.8150112682568
2021-03-31,14690.7001953125,0.7086679881727778,1,1.0,0.0111190124917242,184.84773366222325
2021-04-30,14631.099609375,0.4838993326227268,1,1.0,-0.004057028265849305,184.09780118187743
2021-05-31,15582.7998046875,0.6265461543346551,1,1.0,0.06504638890590897,196.07269835427653
2021-06-30,15721.5,0.5260481451463834,1,1.0,0.008900852032429851,197.8179124299272
2021-07-31,15763.0498046875,0.4234994086450268,1,1.0,0.002642865164742547,198.34071849965034
2021-08-31,17132.19921875,0.5044741355653128,1,1.0,0.08685815441979705,215.56822725482644
2021-09-30,17618.150390625,0.5663989665804818,1,1.0,0.02836478642760354,221.6827739814867
2021-10-31,17671.650390625,0.5178700094230595,1,1.0,0.003036641123716821,222.35594500937853
2021-11-30,16983.19921875,0.30952767671884573,1,1.0,-0.038957944315163195,213.69341448555764
2021-12-31,17354.05078125,0.2411930395873192,1,1.0,0.021836378277336976,218.35970471964004
2022-01-31,17339.849609375,0.27175348790237375,1,1.0,-0.0008183202904040732,218.18101654266133
